state,race,year,all_causes_rate,tb_all_forms_rate,tb_respiratory_rate,tb_other_forms_rate
Maryland,White,1940,1126.8,47.5,44.3,3.2
Maryland,White,1935,1127.5,52.4,50.1,2.3
Maryland,White,1930,1200.9,67.2,62.1,5.1
Maryland,White,1925,1248.0,87.7,78.2,9.5
Maryland,White,1920,1327.0,109.8,99.2,10.6
Maryland,White,1915,1355.2,139.5,124.0,15.6
Maryland,White,1910,1446.5,153.6,136.3,17.2
Maryland,All other races,1940,1650.1,237.8,222.0,15.9
Maryland,All other races,1935,1712.8,210.1,192.2,17.9
Maryland,All other races,1930,1893.2,255.0,220.8,34.2
Maryland,All other races,1925,2093.2,286.2,251.6,34.7
Maryland,All other races,1920,2114.7,325.5,291.0,34.6
Maryland,All other races,1915,2357.0,406.3,368.8,37.6
Maryland,All other races,1910,2292.7,394.9,366.6,28.3
