death_year,md_tb_white,md_tb_all_other_races,total_deaths,tb_deaths,tb_pct_of_deaths,number_of_inmates,chelt_tb_rate,rate_ratio,excess_rate
1877,NA,NA,1,0,0,208,0,NA,NA
1880,NA,NA,1,0,0,NA,NA,NA,NA
1885,NA,NA,2,0,0,248,0,NA,NA
1887,NA,NA,3,1,33.3,253,395.3,NA,NA
1888,NA,NA,2,0,0,NA,NA,NA,NA
1892,NA,NA,1,0,0,NA,NA,NA,NA
1893,NA,NA,2,1,50,272,367.6,NA,NA
1895,NA,NA,1,0,0,285,0,NA,NA
1898,NA,NA,5,1,20,255,392.2,NA,NA
1899,NA,NA,6,5,83.3,263,1901.1,NA,NA
1900,NA,NA,5,1,20,261,383.1,NA,NA
1901,NA,NA,15,9,60,239,3765.7,NA,NA
1903,NA,NA,1,0,0,182,0,NA,NA
1904,NA,NA,2,1,50,240,416.7,NA,NA
1905,NA,NA,2,1,50,270,370.4,NA,NA
1906,NA,NA,2,2,100,241,829.9,NA,NA
1907,NA,NA,3,3,100,270,1111.1,NA,NA
1908,NA,NA,3,2,66.7,306,653.6,NA,NA
1909,NA,NA,4,1,25,289,346,NA,NA
1910,153.6,394.9,2,1,50,317,315.5,0.8,-79.4
1911,NA,NA,2,1,50,287,348.4,NA,NA
1912,NA,NA,1,0,0,313,0,NA,NA
1913,NA,NA,2,1,50,325,307.7,NA,NA
1914,NA,NA,6,5,83.3,330,1515.2,NA,NA
1915,139.5,406.3,4,4,100,346,1156.1,2.8,749.8
1916,NA,NA,3,3,100,343,874.6,NA,NA
1917,NA,NA,9,8,88.9,355,2253.5,NA,NA
1918,NA,NA,9,8,88.9,350,2285.7,NA,NA
1920,109.8,325.5,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,2,0,0,302,0,NA,NA
1923,NA,NA,1,1,100,296,337.8,NA,NA
1925,87.7,286.2,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,3,2,66.7,275,727.3,NA,NA
1927,NA,NA,2,2,100,290,689.7,NA,NA
1928,NA,NA,3,1,33.3,270,370.4,NA,NA
1929,NA,NA,4,3,75,297,1010.1,NA,NA
1930,67.2,255,1,0,0,304,0,0,-255
1931,NA,NA,2,1,50,323,309.6,NA,NA
1932,NA,NA,7,6,85.7,385,1558.4,NA,NA
1933,NA,NA,7,4,57.1,413,968.5,NA,NA
1934,NA,NA,2,2,100,437,457.7,NA,NA
1935,52.4,210.1,6,4,66.7,401,997.5,4.7,787.4
1936,NA,NA,1,1,100,426,234.7,NA,NA
1939,NA,NA,2,0,0,NA,NA,NA,NA
1940,47.5,237.8,NA,NA,NA,NA,NA,NA,NA
