reporter,date,document_id,title,year,abstract,authors,document_type,pubtitle,document_url
nina,1898-03-19,530246158,Other 2 -- No Title,1898,None available.,NA,other,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/other-2-no-title/docview/530246158/sem-2?accountid=14696
nina,1898-09-03,530210774,"""THE PUNISHMENTS HAVE BEEN TOO SEVERE.""",1898,"""The grand jury committee on the House of Reformation for Colored Boys, at Cheltenham, submitted a special report yesterday com mending the management and...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/punishments-have-been-too-severe/docview/530210774/sem-2?accountid=14696
nina,1899-03-25,530225441,SATURDAY MARCH 25 1899: THE YOUTHFUL MURDERER AND CHELTENHAM.,1899,"It is with great pain that we note the terrible crime of the colored youth of fifteen years, John Berry who killed a Miss Clark in Prince George's county last...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/saturday-march-25-1899/docview/530225441/sem-2?accountid=14696
nina,1899-11-04,530221533,A Good Ground of Hope.,1899,"In addition to what we have already attained, we have a most reasonable ground for hope, in the way of an increase of the benefits now enjoyed by the race.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/good-ground-hope/docview/530221533/sem-2?accountid=14696
nina,1901-08-24,530211445,CHELTENHAM AGAIN.,1901,"Some time ago we had occasion to call attention to the treatment accorded to the inmates of the so-called reformatory at Cheltenham, in Prince Gaorges Co. The matter came to the attention of the...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-again/docview/530211445/sem-2?accountid=14696
nina,1901-12-14,530221423,CHELTENHAM DIRECTORS.: TWO PROMINENT AFRO-AMERICANS SELECTED ON THE BOARD.,1901,"At a meeting last Friday of the stockholders of the Colored Honse of Reformation at Cheltenham, by a unanimous vote, the Rev. George F. Bragg, Jr., one of the editors of the Afro-American...",NA,front_page,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-directors/docview/530221423/sem-2?accountid=14696
nina,1902-02-01,530207731,BOYS AND GIRLS WHO GO ASTRAY,1902,"What about our boys and girls who go astray? Certainly it is not christian to lynch and murder them, and yet, thoughtlessncss on our part and disinclination to seriously study...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/boys-girls-who-go-astray/docview/530207731/sem-2?accountid=14696
nina,1902-03-29,530263971,A TRIP TO CHELTENHAM.,1902,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/trip-cheltenham/docview/530263971/sem-2?accountid=14696
nina,1902-03-29,530278900,MAYOR HAYES AND CHELTENHAM.,1902,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/mayor-hayes-cheltenham/docview/530278900/sem-2?accountid=14696
nina,1902-05-17,530273781,"BALTIMORE, MAY 17, 1902.: THE REFORMATORY FOR COLORED BOYS.",1902,"Some fex years ago, the widow of the late Frederick Douglass visited the House of Reformation for colored boys, Cheltenham, Md. The report of Mrs.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/baltimore-may-17-1902/docview/530273781/sem-2?accountid=14696
